TT,Câu hỏi,Phương án A,Phương án B,Phương án C,Phương án D,Phương án E,Đ.án đúng,Số văn bản tham chiếu (kèm trích yếu văn bản),Điều khoản tham chiếu cụ thể
1,"Theo Quy định 9455/QyĐ-BIDV ngày 26/12/2024, trường hợp thành lập Tổ định giá tài sản tại Trụ sở chính, thành phần Tổ định giá TSBĐ bao gồm:","Tổ trưởng là Lãnh đạo phòng
thuộc Ban Khách hàng và tối thiểu bao gồm 01 thành viên là Lãnh đạo phòng/Cán bộ của Ban Khách hàng, Lãnh đạo phòng/Cán bộ của TTTĐ&PD","Tổ trưởng là Lãnh đạo phòng
thuộc Ban Khách hàng và tối thiểu bao gồm 03 thành viên là Lãnh đạo phòng/Cán bộ của Ban Khách hàng, Lãnh đạo phòng/Cán bộ của TTTĐ&PD","Tổ trưởng là Lãnh đạo phòng
thuộc Ban Khách hàng và tối thiểu bao gồm 02 thành viên là Lãnh đạo phòng/Cán bộ của Ban Khách hàng, Lãnh đạo phòng/Cán bộ của TTTĐ&PD","Tổ trưởng là Lãnh đạo phòng thuộc Ban Khách hàng và tối thiểu bao gồm 04 thành viên là Lãnh đạo phòng/Cán bộ của Ban Khách hàng, Lãnh đạo phòng/Cán bộ của TTTĐ&PD",,C,"Quy định 9455/QyĐ-BIDV ngày 26/12/2024 về trình tự, thủ tục, thẩm quyền thực hiện biện pháp bảo đảm","Điều 4, khoản 2, điểm a, tiết (ii)."
2,"Theo Quy định 9455/QyĐ-BIDV ngày 26/12/2024, trường hợp thành lập Tổ định giá tài sản tại Chi nhánh, thành phần Tổ định giá TSBĐ bao gồm:",Tổ trưởng là Lãnh đạo phòng QLRR/QLKH/Phòng Giao dịch và tối thiểu 01 thành viên là lãnh đạo phòng/cán bộ của Phòng QLKH/Phòng Giao dịch và lãnh đạo phòng/cán bộ của Phòng QLRR,Tổ trưởng là Lãnh đạo Phòng QLRR/QLKH/Phòng Giao dịch và tối thiểu 02 thành viên là Lãnh đạo phòng/Cán bộ của Phòng QLRR/QLKH/Phòng Giao dịch.,Tổ trưởng là Lãnh đạo phòng QLRR/QLKH/Phòng Giao dịch và tối thiểu 03 thành viên là lãnh đạo phòng/cán bộ của Phòng QLKH/Phòng Giao dịch và lãnh đạo phòng/cán bộ của Phòng QLRR,Tối thiểu 02 thành viên là lãnh đạo phòng/cán bộ của Phòng QLKH/Phòng Giao dịch và lãnh đạo phòng/cán bộ của Phòng QLRR,,B,"Quy định 9455/QyĐ-BIDV ngày 26/12/2024 về trình tự, thủ tục, thẩm quyền thực hiện biện pháp bảo đảm","Điều 4, khoản 2, điểm a, tiết (ii)."
3,"Theo Quy định 9455/QyĐ-BIDV ngày 26/12/2024, trường hợp các thành viên có ý kiến không thống nhất và có sự chênh lệch giữa giá trị cao nhất và giá trị thấp nhất nhỏ hơn 10% thì cấp quyết định giá trị tài sản là cấp nào?",Cấp có thẩm quyền phê duyệt Báo cáo định giá giá trị TSBĐ,Cấp có thẩm quyền phê duyệt cấp tín dụng của khoản vay được đảm bảo bằng tài sản đang định giá,Cấp thẩm quyền thành lập Tổ định giá TSBĐ,Cả 3 đáp án đều đúng,Không có phương án nào đúng,A,"Quy định 9455/QyĐ-BIDV ngày 26/12/2024 về trình tự, thủ tục, thẩm quyền thực hiện biện pháp bảo đảm","Điều 4, khoản 3"
4,"Theo Quy định 9455/QyĐ-BIDV ngày 26/12/2024, trường hợp các thành viên có ý kiến không thống nhất và có sự chênh lệch giữa giá trị cao nhất và giá trị thấp nhất từ 10% trở lên thì cấp quyết định giá trị tài sản là cấp nào?",Cấp có thẩm quyền phê duyệt Báo cáo định giá giá trị TSBĐ,Cấp có thẩm quyền phê duyệt cấp tín dụng của khoản vay được đảm bảo bằng tài sản đang định giá,Cấp thẩm quyền thành lập Tổ định giá TSBĐ,Cả 3 đáp án đều đúng,,C,"Quy định 9455/QyĐ-BIDV ngày 26/12/2024 về trình tự, thủ tục, thẩm quyền thực hiện biện pháp bảo đảm","Điều 4, khoản 3"
5,"Theo Quy định 9455/QyĐ-BIDV ngày 26/12/2024, các nội dung phải thực hiện khi đánh giá các điều kiện của TSBĐ/Bên bảo đảm là:","Phân tích, đánh giá TSBĐ: tính pháp lý, khả năng chuyển nhượng, khả năng quản lý, chất lượng TSBĐ...","Phân tích, đánh giá năng lực pháp luật và năng lực hành vi theo quy định của pháp luật đối với bên bảo đảm, các bên liên quan","Tra cứu thông tin tại Cục đăng ký quốc gia giao dịch bảo đảm để kiểm tra thông tin về việc cầm cố, thế chấp liên quan đến tài sản (đối với các tài sản phải kiểm tra thông tin tại cơ quan đăng ký giao dịch bảo đảm)","Đánh giá thực trạng, đối chiếu thông tin tài sản trên thực tế và trên giấy tờ chứng minh quyền sở hữu tài sản/hồ sơ mô tả tài sản",Tất cả phương án trên,E,"Quy định 9455/QyĐ-BIDV ngày 26/12/2024 về trình tự, thủ tục, thẩm quyền thực hiện biện pháp bảo đảm","Điều 5, khoản 1"
6,"Theo Quy định 9455/QyĐ-BIDV ngày 26/12/2024, trường hợp thuê Công ty thẩm định giá độc lập. Nội dung nào không cần nêu trong Báo cáo định giá giá trị TSBĐ trong trường hợp này",Giá trị định giá của Chứng thư thẩm định giá,Phương pháp định giá tài sản,Căn cứ xác định giá trị tài sản,Mô tả hiện trạng tài sản do đã có nội dung này tại Chứng thư thẩm định giá,Không có phương án nào đúng,B,"Quy định 9455/QyĐ-BIDV ngày 26/12/2024 về trình tự, thủ tục, thẩm quyền thực hiện biện pháp bảo đảm","Điều 5, khoản 3, điểm a"
7,"Theo Quy định 9455/QyĐ-BIDV ngày 26/12/2024, Giám đốc Ban Khách hàng/Chi nhánh quyết định việc lập hay không lập Báo cáo định giá giá trị TSBĐ đối với trường hợp tài sản nào sau đây","Quyền tài sản phát sinh
từ hợp đồng mua bán nhà ở, sàn thương mại/văn phòng thuộc dự án đầu tư xây
dựng (khi xác định giá trị theo giá trị hợp đồng)",Số dư tiền gửi tại các tổ chức tín dụng khác,TSHTTVV (khi xác định giá trị theo dự toán hoặc theo giá trị hợp đồng mua bán),A&C,"A,B,C",E,"Quy định 9455/QyĐ-BIDV ngày 26/12/2024 về trình tự, thủ tục, thẩm quyền thực hiện biện pháp bảo đảm","Điều 5, khoản 3, điểm c"
8,"Theo Quy định 9455/QyĐ-BIDV ngày 26/12/2024, trường hợp không lập Báo cáo định giá giá trị TSBĐ, cấp phê duyệt giá trị TSBĐ là cấp nào",Phải là cấp phê duyệt khác không phải là cấp phê duyệt Báo cáo đề xuất tín dụng/Đề xuất giải ngân/Đề xuất phát hành bảo lãnh đó,Đồng thời là cấp phê duyệt Báo cáo đề xuất tín dụng/Đề xuất giải ngân/Đề xuất phát hành bảo lãnh đó,Cấp phê duyệt do Giám đốc Ban Khách hàng/Chi nhánh quyết định,,,B,"Quy định 9455/QyĐ-BIDV ngày 26/12/2024 về trình tự, thủ tục, thẩm quyền thực hiện biện pháp bảo đảm","Điều 5, khoản 3, điểm c"
9,"Theo Quy định 9455/QyĐ-BIDV ngày 26/12/2024, trên cơ sở Báo cáo định giá giá trị TSBĐ cùng toàn bộ hồ sơ TSBĐ/BPBĐ, thu thập thêm thông tin (nếu cần), Cán bộ Thẩm định tín dụng thẩm định các nội dung nào sau đây",Thông tin trên hồ sơ và Báo cáo định giá giá trị TSBĐ,"Các nội dung đánh giá, định giá tại Báo cáo định giá giá trị TSBĐ theo quy định",Sự tuân thủ quy định của BIDV về BPBĐ và các quy định có liên quan,"Cán bộ Thẩm định tín dụng có thể hướng dẫn, yêu cầu Tổ định giá TSBĐ/Bộ phận QLKH bổ sung thông tin, làm rõ Báo cáo định giá giá trị TSBĐ",Tất cả phương án trên,E,"Quy định 9455/QyĐ-BIDV ngày 26/12/2024 về trình tự, thủ tục, thẩm quyền thực hiện biện pháp bảo đảm","Điều 5, khoản 4, điểm a"
10,"Theo Quy định 9455/QyĐ-BIDV ngày 26/12/2024, trường hợp TSBĐ được định giá bởi Tổ định giá TSBĐ tại Trụ sở chính, thẩm quyền phê duyệt Báo cáo định giá giá trị TSBĐ thuộc cấp nào thực hiện?",Trưởng phòng Ban Khách hàng,Giám đốc/Phó Giám đốc TTTĐ&PD,Giám đốc/Phó Giám đốc Ban Khách hàng,,,C,"Quy định 9455/QyĐ-BIDV ngày 26/12/2024 về trình tự, thủ tục, thẩm quyền thực hiện biện pháp bảo đảm","Điều 5, khoản 5, điểm a"
